Date,Price,Open,High,Low,Vol.,Change %
18-Apr-22,0.937,0.9142,0.9379,0.8756,176.30M,2.49%
17-Apr-22,0.9142,0.9504,0.9621,0.9131,65.80M,-3.80%
16-Apr-22,0.9504,0.9553,0.9619,0.9376,58.56M,-0.52%
15-Apr-22,0.9553,0.9327,0.9588,0.93,69.47M,2.42%
14-Apr-22,0.9327,0.9737,0.9849,0.9236,127.73M,-4.21%
13-Apr-22,0.9737,0.9538,0.9797,0.9351,130.78M,2.09%
12-Apr-22,0.9538,0.9198,0.9809,0.9176,188.83M,3.69%
11-Apr-22,0.9198,1.0263,1.0317,0.9178,255.95M,-10.35%
10-Apr-22,1.026,1.0451,1.0694,1.0246,84.39M,-1.83%
9-Apr-22,1.0451,1.0249,1.0461,1.0214,83.62M,1.98%
8-Apr-22,1.0249,1.0896,1.0988,1.0191,132.21M,-5.99%
7-Apr-22,1.0902,1.0522,1.1004,1.0407,171.86M,3.62%
6-Apr-22,1.0521,1.1707,1.1727,1.0486,294.66M,-10.14%
5-Apr-22,1.1709,1.2127,1.218,1.1653,178.02M,-3.45%
4-Apr-22,1.2127,1.1857,1.2434,1.162,385.20M,2.28%
3-Apr-22,1.1857,1.1552,1.1989,1.144,124.44M,2.65%
2-Apr-22,1.1551,1.1656,1.1951,1.1484,171.38M,-0.90%
1-Apr-22,1.1656,1.1415,1.1741,1.1059,290.95M,2.11%
31-Mar-22,1.1415,1.1893,1.228,1.1342,270.90M,-4.02%
30-Mar-22,1.1893,1.19,1.2176,1.1637,218.50M,-0.06%
29-Mar-22,1.1901,1.167,1.2412,1.1667,279.49M,1.97%
28-Mar-22,1.167,1.1842,1.2438,1.1613,373.99M,-1.45%
27-Mar-22,1.1842,1.1528,1.1859,1.1052,195.68M,2.71%
26-Mar-22,1.1529,1.096,1.1588,1.0793,224.23M,5.12%
25-Mar-22,1.0967,1.131,1.1651,1.0739,410.60M,-3.03%
24-Mar-22,1.131,1.1065,1.1882,1.0809,558.17M,2.22%
23-Mar-22,1.1065,0.9749,1.1091,0.9572,523.61M,13.50%
22-Mar-22,0.9749,0.918,0.9879,0.9073,262.67M,6.19%
21-Mar-22,0.918,0.8787,0.9298,0.8631,181.64M,4.48%
20-Mar-22,0.8787,0.9031,0.9156,0.8643,148.91M,-2.71%
19-Mar-22,0.9031,0.8519,0.9148,0.8512,173.26M,6.01%
18-Mar-22,0.852,0.8358,0.8596,0.8214,114.72M,1.93%
17-Mar-22,0.8358,0.8387,0.857,0.8288,145.00M,-0.34%
16-Mar-22,0.8387,0.799,0.8397,0.7942,204.05M,4.97%
15-Mar-22,0.799,0.8031,0.8163,0.7835,128.30M,-0.51%
14-Mar-22,0.8031,0.7878,0.8129,0.7786,144.85M,1.94%
13-Mar-22,0.7878,0.7898,0.8201,0.7814,115.35M,-0.25%
12-Mar-22,0.7898,0.7889,0.8017,0.787,72.94M,0.11%
11-Mar-22,0.7889,0.8067,0.8189,0.783,136.69M,-2.20%
10-Mar-22,0.8067,0.8483,0.8533,0.7876,157.91M,-4.91%
9-Mar-22,0.8483,0.8017,0.8629,0.7999,158.54M,5.78%
8-Mar-22,0.8019,0.794,0.8202,0.7881,164.92M,1.01%
7-Mar-22,0.794,0.8223,0.8459,0.7782,177.19M,-3.43%
6-Mar-22,0.8222,0.8642,0.8709,0.82,109.77M,-4.86%
5-Mar-22,0.8642,0.8448,0.8818,0.8204,121.47M,2.29%
4-Mar-22,0.8448,0.9021,0.903,0.8275,201.20M,-6.36%
3-Mar-22,0.9022,0.9381,0.9456,0.8847,177.11M,-3.83%
2-Mar-22,0.9381,0.9635,0.9757,0.927,235.08M,-2.64%
1-Mar-22,0.9635,0.963,1.0076,0.9415,353.23M,-0.02%
28-Feb-22,0.9637,0.8568,0.969,0.8422,356.20M,12.49%
27-Feb-22,0.8567,0.8859,0.9139,0.8338,259.21M,-3.30%
26-Feb-22,0.8859,0.8983,0.9298,0.8824,212.20M,-1.37%
25-Feb-22,0.8982,0.853,0.9077,0.825,333.92M,5.30%
24-Feb-22,0.853,0.8642,0.895,0.7478,766.01M,-1.28%
23-Feb-22,0.8641,0.8879,0.9569,0.8641,339.67M,-2.67%
22-Feb-22,0.8878,0.8579,0.8957,0.8148,372.58M,3.67%
21-Feb-22,0.8563,0.9282,0.9906,0.8522,379.68M,-7.74%
20-Feb-22,0.9282,0.9961,0.9978,0.9191,215.35M,-6.82%
19-Feb-22,0.9961,0.9952,1.0189,0.9742,134.17M,0.09%
18-Feb-22,0.9952,1.0206,1.042,0.985,189.39M,-2.51%
17-Feb-22,1.0209,1.0823,1.093,1.0098,167.24M,-5.65%
16-Feb-22,1.082,1.1063,1.111,1.0669,154.74M,-2.20%
15-Feb-22,1.1063,1.0497,1.1146,1.0492,216.58M,5.39%
14-Feb-22,1.0497,1.0421,1.0541,1.0189,217.55M,0.68%
13-Feb-22,1.0427,1.058,1.0747,1.0329,168.37M,-1.45%
12-Feb-22,1.058,1.0799,1.0918,1.03,228.46M,-2.03%
11-Feb-22,1.0799,1.1511,1.1629,1.068,210.48M,-6.19%
10-Feb-22,1.1511,1.194,1.2216,1.145,278.45M,-3.54%
9-Feb-22,1.1933,1.175,1.2134,1.1523,207.75M,1.56%
8-Feb-22,1.175,1.1987,1.2613,1.1331,410.99M,-1.98%
7-Feb-22,1.1987,1.1422,1.2081,1.1259,388.21M,4.90%
6-Feb-22,1.1428,1.1249,1.149,1.1008,162.27M,1.59%
5-Feb-22,1.1249,1.1381,1.175,1.0977,241.31M,-1.16%
4-Feb-22,1.1381,1.0593,1.1381,1.0459,199.10M,7.46%
3-Feb-22,1.0591,1.0267,1.0596,1.0171,159.45M,3.12%
2-Feb-22,1.0271,1.0953,1.1012,1.0225,203.38M,-6.22%
1-Feb-22,1.0952,1.0519,1.0952,1.0352,199.78M,4.12%
31-Jan-22,1.0519,1.0365,1.0589,1.0088,156.00M,1.49%
30-Jan-22,1.0365,1.0595,1.0764,1.0247,124.08M,-2.18%
29-Jan-22,1.0596,1.0488,1.0828,1.0392,155.35M,1.03%
28-Jan-22,1.0488,1.0423,1.0583,1.0109,222.94M,0.63%
27-Jan-22,1.0423,1.0759,1.0795,1.0051,293.50M,-3.12%
26-Jan-22,1.0759,1.0419,1.1549,1.0225,491.58M,3.26%
25-Jan-22,1.0419,1.0662,1.0719,0.9936,340.53M,-2.25%
24-Jan-22,1.0659,1.1247,1.1247,0.9522,656.89M,-5.18%
23-Jan-22,1.1241,1.0708,1.1689,1.0518,424.31M,4.98%
22-Jan-22,1.0708,1.1201,1.1547,0.9235,817.44M,-4.41%
21-Jan-22,1.1202,1.2586,1.2802,1.1018,583.85M,-11.24%
20-Jan-22,1.2621,1.3367,1.4251,1.2518,409.96M,-5.59%
19-Jan-22,1.3368,1.4582,1.5323,1.327,502.95M,-8.33%
18-Jan-22,1.4582,1.6016,1.6349,1.4139,651.50M,-8.95%
17-Jan-22,1.6015,1.4109,1.6034,1.3878,772.27M,13.51%
16-Jan-22,1.4109,1.2921,1.4211,1.287,355.88M,9.19%
15-Jan-22,1.2922,1.2927,1.3177,1.2519,127.21M,-0.04%
14-Jan-22,1.2927,1.2318,1.3088,1.2226,228.54M,5.07%
13-Jan-22,1.2304,1.3075,1.3527,1.2287,272.21M,-5.77%
12-Jan-22,1.3057,1.1862,1.3068,1.1862,219.06M,10.07%
11-Jan-22,1.1862,1.1238,1.1949,1.122,177.14M,5.53%
10-Jan-22,1.124,1.1693,1.1802,1.0727,273.56M,-3.87%
9-Jan-22,1.1692,1.1812,1.205,1.148,166.87M,-1.01%
8-Jan-22,1.1812,1.2093,1.253,1.1293,249.83M,-2.15%
7-Jan-22,1.2071,1.2808,1.2834,1.191,307.47M,-5.76%
6-Jan-22,1.2808,1.2292,1.2965,1.1878,254.04M,4.20%
5-Jan-22,1.2292,1.3099,1.352,1.1939,222.29M,-6.16%
4-Jan-22,1.3099,1.3191,1.3509,1.296,137.65M,-0.69%
3-Jan-22,1.3191,1.3779,1.3779,1.3104,125.09M,-4.27%
2-Jan-22,1.378,1.3789,1.39,1.343,115.33M,-0.07%
1-Jan-22,1.3789,1.3088,1.3789,1.3067,104.96M,5.34%
31-Dec-21,1.309,1.358,1.3819,1.2819,184.18M,-3.67%
30-Dec-21,1.3589,1.3307,1.3778,1.2992,195.11M,2.14%
29-Dec-21,1.3304,1.3998,1.4368,1.3247,229.60M,-4.85%
28-Dec-21,1.3982,1.5142,1.5381,1.3792,347.26M,-7.65%
27-Dec-21,1.5139,1.4543,1.5912,1.451,265.20M,4.10%
26-Dec-21,1.4544,1.4529,1.4669,1.4089,160.28M,0.10%
25-Dec-21,1.4529,1.3913,1.4598,1.3833,138.23M,4.43%
24-Dec-21,1.3913,1.4733,1.4899,1.3829,193.99M,-5.55%
23-Dec-21,1.4731,1.3271,1.4898,1.3089,327.18M,11.00%
22-Dec-21,1.3271,1.2806,1.3667,1.2762,246.15M,3.64%
21-Dec-21,1.2805,1.2366,1.2889,1.2274,198.29M,3.59%
20-Dec-21,1.2361,1.2444,1.26,1.202,238.60M,-0.68%
19-Dec-21,1.2445,1.2423,1.31,1.2404,206.66M,0.18%
18-Dec-21,1.2423,1.2183,1.2666,1.201,196.30M,1.97%
17-Dec-21,1.2183,1.2399,1.2579,1.1848,259.72M,-1.74%
16-Dec-21,1.2399,1.3109,1.3295,1.2383,224.05M,-5.46%
15-Dec-21,1.3116,1.2665,1.3298,1.205,280.96M,3.56%
14-Dec-21,1.2665,1.2231,1.2821,1.2007,306.88M,3.54%
13-Dec-21,1.2231,1.3461,1.3561,1.2007,277.80M,-9.14%
12-Dec-21,1.3462,1.3515,1.4136,1.3209,262.46M,-0.37%
11-Dec-21,1.3512,1.2108,1.361,1.1922,314.40M,11.72%
